"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"35","ENSG00000101076","ENSG00000101076","35.1.1","Hnf4a","ENSMUSG00000017950","hepatic nuclear factor 4, alpha [Source:MGI Symbol;Acc:MGI:109128]"
"36","ENSG00000173083","ENSG00000173083","36.1.1","Hpse","ENSMUSG00000035273","heparanase [Source:MGI Symbol;Acc:MGI:1343124]"
"37","ENSG00000096384","ENSG00000096384","37.1.1","Hsp90ab1","ENSMUSG00000023944","heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]"
"38","ENSG00000109971","ENSG00000109971","38.1.1","N/A","N/A","N/A"
"39","ENSG00000186847","ENSG00000186847","39.1.1","Krt14","ENSMUSG00000045545","keratin 14 [Source:MGI Symbol;Acc:MGI:96688]"
"40","ENSG00000155506","ENSG00000155506","40.1.1","Larp1","ENSMUSG00000037331","La ribonucleoprotein domain family, member 1 [Source:MGI Symbol;Acc:MGI:1890165]"
"41","ENSG00000002834","ENSG00000002834","41.1.1","Lasp1","ENSMUSG00000038366","LIM and SH3 protein 1 [Source:MGI Symbol;Acc:MGI:109656]"
"42","ENSG00000131981","ENSG00000131981","42.1.1","Lgals3","ENSMUSG00000050335","lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]"
"43","ENSG00000196365","ENSG00000196365","43.1.1","Lonp1","ENSMUSG00000041168","lon peptidase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1921392]"
"44","ENSG00000082212","ENSG00000082212","44.1.1","Me2","ENSMUSG00000024556","malic enzyme 2, NAD(+)-dependent, mitochondrial [Source:MGI Symbol;Acc:MGI:2147351]"
"45","ENSG00000151376","ENSG00000151376","45.1.1","Me3","ENSMUSG00000030621","malic enzyme 3, NADP(+)-dependent, mitochondrial [Source:MGI Symbol;Acc:MGI:1916679]"
"46","ENSG00000182979","ENSG00000182979","46.1.1","Mta1","ENSMUSG00000021144","metastasis associated 1 [Source:MGI Symbol;Acc:MGI:2150037]"
"47","ENSG00000136997","ENSG00000136997","47.1.1","Myc","ENSMUSG00000022346","myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]"
"48","ENSG00000122180","ENSG00000122180","48.1.1","Myog","ENSMUSG00000026459","myogenin [Source:MGI Symbol;Acc:MGI:97276]"
"49","ENSG00000111704","ENSG00000111704","49.1.1","Nanog","ENSMUSG00000012396","Nanog homeobox [Source:MGI Symbol;Acc:MGI:1919200]"
"50","ENSG00000117650","ENSG00000117650","50.1.1","Nek2","ENSMUSG00000026622","NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]"
"51","ENSG00000140939","ENSG00000140939","51.1.1","Nol3","ENSMUSG00000014776","nucleolar protein 3 (apoptosis repressor with CARD domain) [Source:MGI Symbol;Acc:MGI:1925938]"
"52","ENSG00000164867","ENSG00000164867","52.1.1","Nos3","ENSMUSG00000028978","nitric oxide synthase 3, endothelial cell [Source:MGI Symbol;Acc:MGI:97362]"
"53","ENSG00000115758","ENSG00000115758","53.1.1","Odc1","ENSMUSG00000011179","ornithine decarboxylase, structural 1 [Source:MGI Symbol;Acc:MGI:97402]"
"54","ENSG00000121879","ENSG00000121879","54.1.1","Pik3ca","ENSMUSG00000027665","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:MGI Symbol;Acc:MGI:1206581]"
"55","ENSG00000008710","ENSG00000008710","55.1.1","Pkd1","ENSMUSG00000032855","polycystin 1, transient receptor poteintial channel interacting [Source:MGI Symbol;Acc:MGI:97603]"
"56","ENSG00000062822","ENSG00000062822","56.1.1","Pold1","ENSMUSG00000038644","polymerase (DNA directed), delta 1, catalytic subunit [Source:MGI Symbol;Acc:MGI:97741]"
"57","ENSG00000109819","ENSG00000109819","57.1.1","Ppargc1a","ENSMUSG00000029167","peroxisome proliferative activated receptor, gamma, coactivator 1 alpha [Source:MGI Symbol;Acc:MGI:1342774]"
"58","ENSG00000155846","ENSG00000155846","58.1.1","Ppargc1b","ENSMUSG00000033871","peroxisome proliferative activated receptor, gamma, coactivator 1 beta [Source:MGI Symbol;Acc:MGI:2444934]"
"59","ENSG00000198901","ENSG00000198901","59.1.1","Prc1","ENSMUSG00000038943","protein regulator of cytokinesis 1 [Source:MGI Symbol;Acc:MGI:1858961]"
"60","ENSG00000007062","ENSG00000007062","60.1.1","Prom1","ENSMUSG00000029086","prominin 1 [Source:MGI Symbol;Acc:MGI:1100886]"
"61","ENSG00000111679","ENSG00000111679","61.1.1","Ptpn6","ENSMUSG00000004266","protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]"
"62","ENSG00000164611","ENSG00000164611","62.1.1","Pttg1","ENSMUSG00000020415","pituitary tumor-transforming gene 1 [Source:MGI Symbol;Acc:MGI:1353578]"
"63","ENSG00000152942","ENSG00000152942","63.1.1","Rad17","ENSMUSG00000021635","RAD17 checkpoint clamp loader component [Source:MGI Symbol;Acc:MGI:1333807]"
"64","ENSG00000051180","ENSG00000051180","64.1.1","Rad51","ENSMUSG00000027323","RAD51 recombinase [Source:MGI Symbol;Acc:MGI:97890]"
"65","ENSG00000139687","ENSG00000139687","65.1.1","Rb1","ENSMUSG00000022105","RB transcriptional corepressor 1 [Source:MGI Symbol;Acc:MGI:97874]"
"66","ENSG00000160957","ENSG00000160957","66.1.1","Recql4","ENSMUSG00000033762","RecQ protein-like 4 [Source:MGI Symbol;Acc:MGI:1931028]"
"67","ENSG00000163918","ENSG00000163918","67.1.1","Rfc4","ENSMUSG00000022881","replication factor C (activator 1) 4 [Source:MGI Symbol;Acc:MGI:2146571]"
"68","ENSG00000165821","ENSG00000165821","68.1.1","Sall2","ENSMUSG00000049532","spalt like transcription factor 2 [Source:MGI Symbol;Acc:MGI:1354373]"
"69","ENSG00000099194","ENSG00000099194","69.1.1","Scd2","ENSMUSG00000025203","stearoyl-Coenzyme A desaturase 2 [Source:MGI Symbol;Acc:MGI:98240]"
"69","ENSG00000099194","ENSG00000099194","69.1.2","Scd4","ENSMUSG00000050195","stearoyl-coenzyme A desaturase 4 [Source:MGI Symbol;Acc:MGI:2670997]"
"70","ENSG00000181856","ENSG00000181856","70.1.1","Slc2a4","ENSMUSG00000018566","solute carrier family 2 (facilitated glucose transporter), member 4 [Source:MGI Symbol;Acc:MGI:95758]"
"71","ENSG00000134294","ENSG00000134294","71.1.1","Slc38a2","ENSMUSG00000022462","solute carrier family 38, member 2 [Source:MGI Symbol;Acc:MGI:1915010]"
"72","ENSG00000112096","ENSG00000112096","72.1.1","Sod2","ENSMUSG00000006818","superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]"
"73","ENSG00000059377","ENSG00000059377","73.1.1","Tbxas1","ENSMUSG00000029925","thromboxane A synthase 1, platelet [Source:MGI Symbol;Acc:MGI:98497]"
"74","ENSG00000139372","ENSG00000139372","74.1.1","Tdg","ENSMUSG00000034674","thymine DNA glycosylase [Source:MGI Symbol;Acc:MGI:108247]"
"75","ENSG00000160181","ENSG00000160181","75.1.1","Tff2","ENSMUSG00000024028","trefoil factor 2 (spasmolytic protein 1) [Source:MGI Symbol;Acc:MGI:1306805]"
"76","ENSG00000067369","ENSG00000067369","76.1.1","Trp53bp1","ENSMUSG00000043909","transformation related protein 53 binding protein 1 [Source:MGI Symbol;Acc:MGI:1351320]"
"77","ENSG00000133112","ENSG00000133112","77.1.1","N/A","N/A","N/A"
"78","ENSG00000069018","ENSG00000069018","78.1.1","Trpc7","ENSMUSG00000021541","transient receptor potential cation channel, subfamily C, member 7 [Source:MGI Symbol;Acc:MGI:1349470]"
"79","ENSG00000213886","ENSG00000213886","79.1.1","Ubd","ENSMUSG00000035186","ubiquitin D [Source:MGI Symbol;Acc:MGI:1344410]"
"80","ENSG00000171794","ENSG00000171794","80.1.1","Gm45902","ENSMUSG00000051396","predicted gene 45902 [Source:MGI Symbol;Acc:MGI:5805017]"
"81","ENSG00000082898","ENSG00000082898","81.1.1","Xpo1","ENSMUSG00000020290","exportin 1 [Source:MGI Symbol;Acc:MGI:2144013]"
"82","ENSG00000170027","ENSG00000170027","82.1.1","Ywhag","ENSMUSG00000051391","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Source:MGI Symbol;Acc:MGI:108109]"
"83","ENSG00000158402","ENSG00000158402","83.1.1","Cdc25c","ENSMUSG00000044201","cell division cycle 25C [Source:MGI Symbol;Acc:MGI:88350]"
"84","ENSG00000101224","ENSG00000101224","84.1.1","Cdc25b","ENSMUSG00000027330","cell division cycle 25B [Source:MGI Symbol;Acc:MGI:99701]"
"85","ENSG00000130816","ENSG00000130816","85.1.1","Dnmt1","ENSMUSG00000004099","DNA methyltransferase (cytosine-5) 1 [Source:MGI Symbol;Acc:MGI:94912]"
"86","ENSG00000096696","ENSG00000096696","86.1.1","Dsp","ENSMUSG00000054889","desmoplakin [Source:MGI Symbol;Acc:MGI:109611]"
"87","ENSG00000047849","ENSG00000047849","87.1.1","Map4","ENSMUSG00000032479","microtubule-associated protein 4 [Source:MGI Symbol;Acc:MGI:97178]"
"88","ENSG00000107643","ENSG00000107643","88.1.1","Mapk8","ENSMUSG00000021936","mitogen-activated protein kinase 8 [Source:MGI Symbol;Acc:MGI:1346861]"
"89","ENSG00000065833","ENSG00000065833","89.1.1","Me1","ENSMUSG00000032418","malic enzyme 1, NADP(+)-dependent, cytosolic [Source:MGI Symbol;Acc:MGI:97043]"
"90","ENSG00000134222","ENSG00000134222","90.1.1","Psrc1","ENSMUSG00000068744","proline/serine-rich coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1913099]"
"91","ENSG00000179262","ENSG00000179262","91.1.1","Rad23a","ENSMUSG00000003813","RAD23 homolog A, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105126]"
"92","ENSG00000168214","ENSG00000168214","92.1.1","Rbpj","ENSMUSG00000039191","recombination signal binding protein for immunoglobulin kappa J region [Source:MGI Symbol;Acc:MGI:96522]"
"93","ENSG00000115310","ENSG00000115310","93.1.1","Rtn4","ENSMUSG00000020458","reticulon 4 [Source:MGI Symbol;Acc:MGI:1915835]"
"94","ENSG00000131389","ENSG00000131389","94.1.1","Slc6a6","ENSMUSG00000030096","solute carrier family 6 (neurotransmitter transporter, taurine), member 6 [Source:MGI Symbol;Acc:MGI:98488]"
"95","ENSG00000011426","ENSG00000011426","95.1.1","Anln","ENSMUSG00000036777","anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]"
"96","ENSG00000134057","ENSG00000134057","96.1.1","Ccnb1","ENSMUSG00000041431","cyclin B1 [Source:MGI Symbol;Acc:MGI:88302]"
"97","ENSG00000095002","ENSG00000095002","97.1.1","Msh2","ENSMUSG00000024151","mutS homolog 2 [Source:MGI Symbol;Acc:MGI:101816]"
"98","ENSG00000166851","ENSG00000166851","98.1.1","Plk1","ENSMUSG00000030867","polo like kinase 1 [Source:MGI Symbol;Acc:MGI:97621]"
"99","ENSG00000151012","ENSG00000151012","99.1.1","Slc7a11","ENSMUSG00000027737","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]"
"100","ENSG00000169398","ENSG00000169398","100.1.1","Ptk2","ENSMUSG00000022607","PTK2 protein tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95481]"
"101","ENSG00000170312","ENSG00000170312","101.1.1","Cdk1","ENSMUSG00000019942","cyclin-dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]"
